"semester_id","semester_number","semester_name","semester_is_current","semester_is_next"
"2a5512e7-b115-4238-ad11-fa61655b215e",197903,"קיץ 1979/80(תש""מ)",false,false
"8ee8fb96-7847-4c3c-91fa-bf526094c680",198001,"חורף 1980/81(תשמ""א)",false,false
"2557d071-2c94-4eb3-9547-fd40de89c8e2",198002,"אביב 1980/81(תשמ""א)",false,false
"8eb32e97-70dc-4bce-b889-637cbaeed49d",198003,"קיץ 1980/81(תשמ""א)",false,false
"721681d6-2900-42dd-85be-3858dfbab9d9",198101,"חורף 1981/82(תשמ""ב)",false,false
"5d3cf8bc-e763-4e24-a1f7-d83f4b5f7f05",198102,"אביב 1981/82(תשמ""ב)",false,false
"32401b64-1e57-4766-aa34-fdb85a2a080f",198103,"קיץ 1981/82(תשמ""ב)",false,false
bb38561a-f956-42c4-ac03-431fc4e92231,198201,"חורף 1982/83(תשמ""ג)",false,false
"56c38e24-cd68-4b9a-a9ef-039e1b240337",198202,"אביב 1982/83(תשמ""ג)",false,false
"452cc7d6-02db-4fbf-91ee-9c8ec2dfeef8",198203,"קיץ 1982/83(תשמ""ג)",false,false
"31bfc7b4-597a-4054-be4b-c8c42aece96b",198301,"חורף 1983/84(תשמ""ד)",false,false
"32485ab3-e10e-469b-80f8-f94a945b735e",198302,"אביב 1983/84(תשמ""ד)",false,false
ba4d9d28-420f-46dc-9401-8929a6d09c18,198303,"קיץ 1983/84(תשמ""ד)",false,false
f80ca7ce-08a0-4bd5-a86c-b46beeaa49ab,198802,"אביב 1988/89(תשמ""ט)",false,false
be61def7-88d4-4cb5-af58-bb64ea895b02,198803,"קיץ 1988/89(תשמ""ט)",false,false
"14edee33-51db-44bf-9083-858ae294a058",198901,"חורף 1989/90(תש""נ)",false,false
"1b781a28-577c-49ae-8be8-819eab9cb13e",198902,"אביב 1989/90(תש""נ)",false,false
"5ebed714-1461-4b65-a197-9461f9b119c3",198903,"קיץ 1989/90(תש""נ)",false,false
a9f9c645-5243-4c7f-94a2-59bd04d89ac9,199001,"חורף 1990/91(תשנ""א)",false,false
"1bd18ccc-a313-463f-ba01-39c2bca16e7e",199002,"אביב 1990/91(תשנ""א)",false,false
dab53cbd-92d4-4074-a398-cbeaf77e4eb8,199003,"קיץ 1990/91(תשנ""א)",false,false
"7c7848b3-4ebc-409c-b56a-9f7c4f10000f",199101,"חורף 1991/92(תשנ""ב)",false,false
"3822c358-06dd-4198-ac22-4916a044af8d",199102,"אביב 1991/92(תשנ""ב)",false,false
a7724820-b2db-48d9-aece-354d21734072,199103,"קיץ 1991/92(תשנ""ב)",false,false
"6640570b-dcd4-4d37-9700-c79d097b59ed",199201,"חורף 1992/93(תשנ""ג)",false,false
"628adff5-bdd2-47e6-a662-2b4ba14baed4",199601,"חורף 1996/97(תשנ""ז)",false,false
"8e34be11-ef95-4e67-8315-68ba48d82aba",199602,"אביב 1996/97(תשנ""ז)",false,false
"3bc04acc-c70d-4aee-862f-ae93d385629e",199603,"קיץ 1996/97(תשנ""ז)",false,false
"2ffd866d-fcb5-4577-aa9d-08895a46dd42",199701,"חורף 1997/98(תשנ""ח)",false,false
"7366178b-ae19-4734-a50c-7e0b35748638",199702,"אביב 1997/98(תשנ""ח)",false,false
e98339ae-66d5-49bc-bc12-e148b545b9ef,199703,"קיץ 1997/98(תשנ""ח)",false,false
"9b26cc02-d155-4ee1-b278-6f827022cf57",199801,"חורף 1998/99(תשנ""ט)",false,false
d348ccf9-d6be-4098-8dac-c977060bc15e,199802,"אביב 1998/99(תשנ""ט)",false,false
e524816f-f3b0-4851-96e6-a6094a61ce73,199803,"קיץ 1998/99(תשנ""ט)",false,false
"96576276-f1ec-48b2-9ce5-2a1161bdf7f1",199901,"חורף1999/2000(תש""ס)",false,false
"90206103-9b87-4b0d-b081-fc19c51c174c",199902,"אביב 1999/00(תש""ס)",false,false
c29a473b-580b-4f9c-ae24-156f3ddb6ef7,200302,"אביב 2003/04(תשס""ד)",false,false
e11f255d-6007-4ac1-9eed-e695fb75b7b8,200303,"קיץ 2003/04(תשס""ד)",false,false
"5c525084-5b3d-49cc-8eac-fd462662d6e9",200401,"חורף2004/05(תשס""ה)",false,false
ef1007f5-6b3f-457e-b378-cad26cfa4abc,201603,"קיץ 2016/17 (תשע""ז)",false,false
"7f6be6ee-feed-43c9-8e1d-f92577e9fe1d",201701,"חורף 2017/18(תשע""ח)",false,false
"187fdf7d-719e-4324-9b70-ee748cc7a13a",201702,"אביב 2017/18(תשע""ח)",false,false
"940956c2-a2ab-47f1-ad6c-f7e280780936",201703,"קיץ 2017/18 (תשע""ח)",false,false
f3d9334c-a5c3-4a8b-a1d1-18cdd862d10e,202103,"קיץ 2021/22(תשפ""ב)",false,false
af8ee846-e793-486b-a1b4-faf16f55070e,202201,"חורף 2022/23(תשפ""ג)",false,false
"10ced9ab-a314-4e6f-bceb-196fd8d1b9dc",195001,"",false,false
"8cb0470f-cd54-4a4f-ac3d-14af6f29976e",196001,"",false,false
b852d6df-1510-47ce-b56b-014d143c87d8,196503,"",false,false
"45406c5f-0073-4195-971f-fa297c66e416",196601,"א-תשכ""ז",false,false
b230ac89-6920-4c73-b6b0-c1f0f6deec05,196602,"ב-תשכ""ז",false,false
"4dac788d-8aa3-447b-b4ee-91bcbd98b2d5",196701,"א-תשכ""ח",false,false
"3b5a1205-4703-42be-85fb-eb068f20cb1a",196702,"ב-תשכ""ח",false,false
"3bb92525-d05a-449a-aa73-7e5e1bd9dea6",196703,"",false,false
"5a18e5ce-ac33-4436-9902-69f7b1987a68",196801,"א-תשכ""ט",false,false
"03a7bc38-0ce6-4d86-af95-2ebafaee4b23",196802,"ב-תשכ""ט",false,false
"0b10b7d3-c5b0-485b-8559-8e62b4b82e7b",196901,"חורף 1969/70(תש""ל",false,false
beb35a3f-4c01-4808-bab8-a0bc69387dee,196902,"אביב 1969/70(תש""ל)",false,false
"7dc74de4-a29a-4124-8be3-711b9be1fc1c",196903,"קיץ  1969/70(תש""ל)",false,false
"0fb3fc52-c884-42f9-ac55-e98814ae2ca3",197001,"חורף 1970/71(תשל""א)",false,false
"8d650fe5-5087-4143-be46-b880431dafec",197002,"אביב 1970/71(תשל""א)",false,false
eaf11727-a9f9-4fca-9ad6-72f8d3ebbd31,197003,"קיץ  1970/71(תשל""א)",false,false
"461f25c4-1296-4f03-be06-412ae3569478",197101,"חורף 1971/72(תשל""ב)",false,false
b51b1df4-66c6-4375-bf6e-f45415409871,197102,"אביב 1971/72(תשל""ב)",false,false
"2d596307-6a33-498d-ad68-ccd8a0e74072",197103,"קיץ 1971/72(תשל""ב)",false,false
"888833cd-debc-4c5d-bbb0-34f7cdf70167",197201,"חורף 1972/73(תשל""ג)",false,false
"5e2bc017-c830-4f45-a2e6-b21b98615f8a",197202,"אביב 1972/73(תשל""ג)",false,false
b639d1d4-a25a-4049-9df8-30229f64b308,197203,"קיץ 1972/73(תשל""ג)",false,false
"8ad5e7fb-a032-486c-907d-98a66bfa824b",197204,"סמס יום כפור(תשל""ד)",false,false
"79c38b09-2c14-4d04-9cdc-a6ca626dcf4c",197301,"חורף 1973/74(תשל""ד)",false,false
"02c2d780-1bad-4ead-96f2-2ab99d045ee0",197302,"אביב 1973/74(תשל""ד)",false,false
c00991a0-b693-4e9b-ad41-63b30f65631a,197303,"קיץ 1973/74(תשל""ד)",false,false
"5b0ae341-3e93-433b-bf0c-391715355f82",197310,"",false,false
"20e8bec2-938b-4586-8775-21a566e9d242",197401,"חורף 1974/75(תשל""ה)",false,false
"8d687b38-8f7e-4ed8-813c-cdcc355efc57",197402,"אביב 1974/75(תשל""ה)",false,false
"0d190b2c-b522-4e79-9ecf-1f73658d2542",197403,"קיץ 1974/75(תשל""ה)",false,false
"2e30ef2e-0720-4db9-bbed-bb8900e4945b",197501,"חורף 1975/76(תשל""ו)",false,false
"9a3f707c-f291-4c92-9b3c-047b7e7cd3f3",197502,"אביב 1975/76(תשל""ו)",false,false
"0b9c8536-db6f-4410-94dc-410399f21b9d",197503,"קיץ 1975/76(תשל""ו)",false,false
ebcf1d4e-6266-42be-931b-23bca067211f,197601,"חורף 1976/77(תשל""ז)",false,false
"2b0d3958-38fd-4117-a9e3-538660b56e54",197602,"אביב 1976/77(תשל""ז)",false,false
"3e3b4d05-3cc8-427b-b9aa-48f6c80fc37e",197603,"קיץ 1976/77(תשל""ז)",false,false
"353f643a-e3c7-42ae-8447-8ff8b680d173",197701,"חורף 1977/78(תשל""ח)",false,false
bfb48603-ae69-4de7-834c-93611bf29605,197702,"אביב 1977/78(תשל""ח)",false,false
"39c7331a-9a83-4950-a348-9048b962557a",197703,"קיץ 1977/78(תשל""ח)",false,false
"08eb75af-584c-46a7-80c1-6ea2bc7e55a2",197801,"חורף 1978/79(תשל""ט)",false,false
"50574543-ff56-4a8b-958f-f03b633d61fd",197802,"אביב 1978/79(תשל""ט)",false,false
"42b38f99-b5e2-4048-a1e3-b6b4e5fef742",197803,"קיץ 1978/79(תשל""ט)",false,false
"13272ce3-5408-4d73-8a2b-3589e9f9e568",197901,"חורף 1979/80(תש""מ)",false,false
"01626547-ba09-4bf1-b805-0eb806c89137",197902,"אביב 1979/80(תש""מ)",false,false
eda8288a-e439-4a29-adcb-d9be6e1a4b03,201801,"חורף 2018/19(תשע""ט)",false,false
a028dac2-9f03-423e-8326-a664c894c62d,201802,"אביב 2018/19(תשע""ט)",false,false
"29b5072f-2f6f-41c2-ac41-b54631435b60",202202,"אביב 2022/23(תשפ""ג)",false,false
"60501353-2d24-4108-a514-76eba0cef03b",202203,"קיץ 2022/23(תשפ""ג)",false,false
e46c6cc4-95d0-41db-a1a4-ea5f5e074a80,202301,"חורף 2023/24(תשפ""ד)",true,false
dc87c44c-1079-4b8c-9bf2-753a41c74b37,198401,"חורף 1984/85(תשמ""ה)",false,false
acc46422-f535-4748-9f6c-112fbbf3f86b,198402,"אביב 1984/85(תשמ""ה)",false,false
"2bc491be-22ff-49a3-8800-904f3f18120e",198403,"קיץ 1984/85(תשמ""ה)",false,false
e9011461-43c1-40d6-b870-092b1d65f8fc,198501,"חורף 1985/86(תשמ""ו)",false,false
"6c8bc60d-0275-41fd-b912-2af5f3b29204",198502,"אביב 1985/86(תשמ""ו)",false,false
"3387b551-e3b2-41e6-b889-ed4cecb27f5d",198503,"קיץ 1985/86(תשמ""ו)",false,false
a842ede4-8752-4928-ab5b-8cc8c58c4896,198601,"חורף 1986/87(תשמ""ז)",false,false
"4cab4ec1-7fd6-42d5-9ccc-f0231659508a",198602,"אביב 1986/87(תשמ""ז)",false,false
"9f4b77ab-bfff-4749-b16c-228bc50ad3e8",198603,"קיץ 1986/87(תשמ""ז)",false,false
"95d7e574-fe8d-49df-880f-52406b4f8e87",198701,"חורף 1987/88(תשמ""ח)",false,false
"90b3e5fb-4460-499a-8da5-eb2ca1d1e344",198702,"אביב 1987/88(תשמ""ח)",false,false
"160ea59c-5cb9-4d2b-83cb-6c564f865afb",198703,"קיץ 1987/88(תשמ""ח)",false,false
"30fba4cb-b47c-4b3d-9d7b-74895a03e329",198801,"חורף 1988/89(תשמ""ט)",false,false
"93ba8c6f-e154-4408-a31c-0872504dd623",199202,"אביב 1992/93(תשנ""ג)",false,false
d90e17f8-2227-441b-bc87-8cf5f8ccfb53,199203,"קיץ 1992/93(תשנ""ג)",false,false
"4c7b929b-c54e-49f1-86bf-b136e27debd6",199301,"חורף 1993/94(תשנ""ד)",false,false
"9c11c28e-7a2b-41f0-a600-51aab0878bd6",199302,"אביב 1993/94(תשנ""ד)",false,false
"7058e1a6-11ba-4de2-bb71-65f63ccaf476",199303,"קיץ 1993/94(תשנ""ד)",false,false
"572bff50-04b7-413d-afcc-f382af4d083b",199401,"חורף 1994/95(תשנ""ה)",false,false
"3a332fde-576b-4db1-8879-1442031d7942",199402,"אביב 1994/95(תשנ""ה)",false,false
a28c4e26-5bcf-452c-ab27-03a7c6c413bf,199403,"קיץ 1994/95(תשנ""ה)",false,false
"3578958f-c29b-4d0f-9840-e83a166c6439",199501,"חורף 1995/96(תשנ""ו)",false,false
"6d1b1047-a422-4cde-a05c-e473a754d3fe",199502,"אביב 1995/96(תשנ""ו)",false,false
"21b9c9b9-4659-4dc7-a712-bd7f1f259cc2",199503,"קיץ 1995/96(תשנ""ו)",false,false
"3dcdce98-e19f-434a-b65e-aab264d01d15",199903,"קיץ 1999/00 (תש""ס)",false,false
"6713393a-7a53-4872-9fe2-db8775815adf",200001,"חורף 2000/01(תשס""א)",false,false
"2113f90a-3ff2-4544-9f8a-be0d55e098b5",200002,"אביב 2000/01(תשס""א)",false,false
"3f745bf2-e8e4-48c5-97a7-2699053e3ce8",200003,"קיץ 2000/01(תשס""א)",false,false
cc666bc2-05dd-43b2-a47b-37b57b232ef6,200101,"חורף 2001/02(תשס""ב)",false,false
"2d7adeda-6567-43ed-932e-d70b234b8e9a",200102,"אביב 2001/02(תשס""ב)",false,false
ccd39430-4eba-4063-860a-e90302a82d14,200103,"קיץ 2001/02(תשס""ב)",false,false
d536cf10-3ec5-4d7b-bb14-3f5b9552c7fb,200201,"חורף 2002/03(תשס""ג)",false,false
"4f8df155-8fe3-48ce-9192-c03038a90069",200202,"אביב 2002/03(תשס""ג)",false,false
"1902753b-eaef-4567-b7fa-cc2d18b23bac",200203,"קיץ 2002/03(תשס""ג)",false,false
"18568740-7b15-473e-81ac-31963953d20e",200301,"חורף 2003/04(תשס""ד)",false,false
"8b42fb59-2bad-4ce9-ae91-3e5261399156",201803,"קיץ 2018/19 (תשע""ט)",false,false
c9875816-4ed1-43d3-9127-d1aac52aa5a0,201901,"חורף 2019/20(תש""ף)",false,false
"3d63d341-af56-4d39-aac4-003fa6352f56",201902,"אביב 2019/20(תש""ף)",false,false
"79c2c090-e651-45a7-ae1b-756046a59631",201903,"קיץ 2019/20(תש""ף)",false,false
"210d5560-bdf4-4318-a12d-41987bc6cbd2",202001,"חורף 2020/21(תשפ""א)",false,false
"653fb3ad-a8c5-4f8a-8572-0019e0a0f449",202002,"אביב 2020/21(תשפ""א)",false,false
ea9a5186-49f9-48ad-b136-a848534b508b,202003,"קיץ 2020/21(תשפ""א)",false,false
d2e850a1-363b-4363-9f6d-3b2ae0e262f0,202101,"חורף 2021/22(תשפ""ב)",false,false
"8dd1e4b0-71a2-4be8-a11b-5c63b3888c12",202102,"אביב 2021/22(תשפ""ב)",false,false
"86b9c7ca-88c6-4297-9674-382df507d196",200603,"קיץ 2006/07(תשס""ז)",false,false
d8485a84-fe24-4b23-b1aa-d1bc87d039a9,200701,"חורף 2007/08(תשס""ח)",false,false
"751c62b6-582c-43af-b90a-f8b82cb2b90f",200702,"אביב 2007/08(תשס""ח)",false,false
ac27c122-9ae7-46bf-b531-d85b04d5a83c,200703,"קיץ 2007/08(תשס""ח)",false,false
"61f3e702-5cf9-419f-908d-89bdbcfe4436",200801,"חורף 2008/09(תשס""ט)",false,false
b6050add-781d-4d41-a158-0fd6c5fb1851,200802,"אביב 2008/09(תשס""ט)",false,false
"34b3113c-dc33-49f7-859c-798a341f11d3",200803,"קיץ 2008/09 (תשס""ט)",false,false
b900860a-6c0a-4201-846c-4fc84c10b321,200901,"חורף 2009/10 (תש""ע)",false,false
ec9d2da4-6b25-48c7-a929-ea935ce60806,200902,"אביב 2009/10 (תש""ע)",false,false
cbb42d36-7cc8-4452-93d4-6058307d485c,200903,"קיץ 2009/10 (תש""ע)",false,false
"2a8312c6-0e63-4462-92f4-b5fe431403fd",201001,"חורף 2010/11(תשע""א)",false,false
c21afee9-9327-4858-8ada-f7e242a2ca75,201002,"אביב 2010/11(תשע""א)",false,false
e6ce83c6-4aa0-4bf9-994a-656ca530a597,201003,"קיץ 2010/11 (תשע""א)",false,false
d72f5cc8-c539-454b-86df-6026da47e90c,201101,"חורף 2011/12(תשע""ב)",false,false
c0a6313b-5b75-4ece-b642-70abf85437a8,201102,"אביב 2011/12(תשע""ב)",false,false
"371b681d-ac9a-42eb-a790-368a14f69d53",201103,"קיץ 2011/12(תשע""ב)",false,false
"2d91a460-1337-482a-b568-bf1ba7fd9d22",201201,"חורף 2012/13(תשע""ג)",false,false
"192dc2db-3698-4fac-8c2e-e5024e96b77b",201202,"אביב 2012/13(תשע""ג)",false,false
a3a1897c-0a19-4ad8-be7e-4fa4aedf309c,201203,"קיץ 2012/13(תשע""ג)",false,false
c595cd1a-3331-488f-b201-69de2ccfc3ad,201301,"חורף 2013/14(תשע""ד)",false,false
"2752afa8-257b-4a16-9226-f8ca180e2be6",201302,"אביב 2013/14(תשע""ד)",false,false
"2148944e-0dc9-4915-90b0-5b7ae87f052f",201303,"קיץ 2013/14(תשע""ד)",false,false
bad0c85b-0855-476c-b631-97085bdee696,201401,"חורף 2014/15(תשע""ה)",false,false
"069ec5cc-4fc3-438d-b40a-171db169721e",201402,"אביב 2014/15(תשע""ה)",false,false
bf06d103-8984-4018-933f-3954b4cda695,201403,"קיץ 2014/15(תשע""ה)",false,false
"8b52b449-5cae-4fd8-88e1-aa0cc47e41d2",201501,"חורף 2015/16(תשע""ו)",false,false
"45ca44e9-3eca-4f40-a34e-4becbaf0e28a",201502,"אביב 2015/16(תשע""ו)",false,false
"7f68cf4b-e380-4163-9489-1a93e4ff599c",201503,"קיץ 2015/16 (תשע""ו)",false,false
bfe1af8d-26f8-4e46-853b-e2a584dc432f,201601,"חורף 2016/17(תשע""ז)",false,false
"3358b867-ca52-40e3-b60d-fdcc54154a4b",201602,"אביב 2016/17(תשע""ז)",false,false
"757eacc5-8cb6-4833-8604-0a52e1230c50",202302,"אביב 2023/24(תשפ""ד)",false,true
c3b06032-b32c-4a15-8527-025cecdf8ad2,202303,"",false,false
b44aaa3a-147e-4022-879c-bf1e24397a48,202401,"",false,false
"8a2ff903-80eb-43a8-b079-9cbcf97be499",200402,"אביב 2004/05(תשס""ה)",false,false
"99f6b725-2f49-42fd-8ae4-f63425ae5216",200403,"קיץ 2004/05(תשס""ה)",false,false
d30fc468-afcf-4bbb-9673-5bf199b0f9ae,200501,"חורף 2005/06(תשס""ו)",false,false
e121ae90-f3a0-4a7c-b660-b770ca5f10d6,200502,"אביב 2005/06(תשס""ו)",false,false
abcbd9fa-61d5-4ed2-a121-6fc72bcd3d46,200503,"קיץ 2005/06(תשס""ו)",false,false
"93594fe8-c404-416a-9004-2664f497cc7a",200601,"חורף 2006/07(תשס""ז)",false,false
"12094655-4648-4de0-9a0d-8e80be7cf6f6",200602,"אביב 2006/07(תשס""ז)",false,false
